,id,user_name,mentions,hashtags,geo,Time,Text
3728,1063051561084039170,rsmck,@LibDems,#StopBrexit,,2018-11-15 12:50:17+00:00,"No, it's time for a government that will simply put an end to this nonsense and accept that people should be held to account for the lies in the run up to the last referendum on the matter. So far, the only ones fitting that bill are @LibDems who aim to #StopBrexit - simple."
3729,1063051490204495873,TheStephenRalph,,#Remain #StopBrexit,,2018-11-15 12:50:00+00:00,She's done it again today. In the Commons a little earlier... She's conceded that #Remain supporting MPs can #StopBrexit if they can get a majority. There's presently a Remain majority across all parties. All they have to do is vote together. 
3730,1063051435636649984,johwilcha,,#WeDeserveBetter #PeoplesVote #WATON #FBPE #StopBrexit,,2018-11-15 12:49:47+00:00,"Can any leaver state one leave promise, made pre ref, that looks anywhere close to being delivered, without harming the UK? Of the > 2000 leavers I've asked, none have been able to return a reasoned reply #WeDeserveBetter #PeoplesVote #WATON #FBPE #StopBrexit "
3731,1063051353193414656,AlisonKMurray,,#LeaveBrokeTheLaw #StopBrexit,,2018-11-15 12:49:27+00:00,Please start getting prepared to change the numbers in each house and get all to VOTE - sign a few petitions- look for Brexit and voting https://petition.parliament.uk/petitions?q=brexit&amp;state=open or this one https://petition.parliament.uk/petitions/223729 (we know #LeaveBrokeTheLaw) #StopBrexit any way you can!
3732,1063051201523146752,CorruptPoliticz,@InLimboBrexit @BritishInEurope @the3million @FinalSayForAll @peoplesvote_uk @RidgeOnSunday @UKLabour @SkyNewsPolitics,#Brexit #Ridge #BBCNews #ITVNews #c4news #Skynews #stopbrexit #peoplesvote #ExPats,,2018-11-15 12:48:51+00:00,#Brexit @InLimboBrexit @BritishInEurope @The3Million @FinalSayForAll @peoplesvote_uk @EUCitizen2017 @RidgeOnSunday #Ridge @UKLabour @skynewspolitics #BBCNews #ITVNews #c4news #Skynews #stopbrexit #peoplesvote #ExPats
3733,1063051147022340097,unacomics,,#brexit #StopBrexit,,2018-11-15 12:48:38+00:00,"Surely tomorrow this massively constipated #brexit thing will have shifted somewhat? Surely the whole thing can be shoved out and flushed now? Please god, I can’t bear to look anymore #StopBrexit"
3734,1063051061185966081,zoupdragon,,#StopBrexit,,2018-11-15 12:48:18+00:00,"""Bespoke Brexit deal better than any other option"" (other than remaining in EU) #StopBrexit "
3735,1063051060481265664,moodyoldblue,,#StopBrexit,,2018-11-15 12:48:18+00:00,"Like this?? Even Rees-Mogg concedes it ""short term"" may be 50 years. Given his recent displays of ignorance and stupity, it is good that Raaaab has resigned. Now, he may have more time to take a course on Geography 101, followed by Economics for Numpties. #StopBrexit "
3736,1063051058749100032,thejonjackneil,,#StopBrexit,,2018-11-15 12:48:17+00:00,"“Et tu, Raab?” #StopBrexit"
3737,1063051049873928193,VesperUK,@Vets4EU,#StopBrexit,,2018-11-15 12:48:15+00:00,"Excellent! We in the UK welcome the support of citizens, journalists, business people, politicians in Europe to #StopBrexit ! Also, people who have served in the armed forces in EU countries please follow @Vets4EU on Twitter &amp; FB!"
3738,1063050906063855618,csibike1,@JoJohnsonUK,#VoteLeaveBrokeTheLaw #Brexit #StopBrexit,,2018-11-15 12:47:41+00:00,"Join @JoJohnsonUK in admitting that this is not the deal ppl were promised. Why is it ignored that #VoteLeaveBrokeTheLaw + referendum was based on lies? There is no #Brexit benefit. Poor, vulnerable suffer. Only disaster capitalists win. Loss of rights/protections #StopBrexit"
3739,1063050563506634752,spaceangel1964,,#BrexitChaos #RemainerNow #StopBrexit #PeoplesVote,,2018-11-15 12:46:19+00:00,"As a result of this #BrexitChaos, there will be many more who are #RemainerNow. Let's welcome them &amp; harness their energy to #StopBrexit with a #PeoplesVote Pls RT widely!"
3740,1063050407243640834,Mischiefrules,,#stopbrexit #peoplesvote #FinalSayForAll,,2018-11-15 12:45:42+00:00,"Oh dear, Theresa May has been battling questions in HOC for well over 2 hours and has now gone the full Maybot, to coin John Crace’s phrase. If I wasn’t so appalled by the chaos unfolding before our eyes I would almost feel sorry for her. #stopbrexit #peoplesvote #FinalSayForAll"
3741,1063050340180914178,AndrewKnight226,,#StopBrexit #PeoplesVote,,2018-11-15 12:45:26+00:00,"No Brexit deal will ""Bring our country together"". Its time to #StopBrexit with a #PeoplesVote"
3742,1063050302549643265,TransientEye,,#stopbrexit,,2018-11-15 12:45:17+00:00,Which is completely useless to people like me - UK national self employed and with 95% of my work outside of the country in which I am resident. #stopbrexit
3743,1063050278235189250,JohnSeaton,@guyverhofstadt @eucopresident,#StopBrexit #Brexit #PeoplesVote,,2018-11-15 12:45:11+00:00,@guyverhofstadt @eucopresident #StopBrexit #Brexit #PeoplesVote
3744,1063050198325301249,SKMacDonald,,#StopBrexit #PeoplesVote,,2018-11-15 12:44:52+00:00,"@Ministryofhealth YOU owe US a Duty of Care. If and when our medication is cut-off, some of us may indeed die. But our Estates and dependents are going to sue your arses off. Print and file for future reference. #StopBrexit #PeoplesVote"
3745,1063050051705020416,Elysee14,@peoplesvote_uk @remain_central @Scientists4EU @EuropeStreet @the3million,#StopBrexit,,2018-11-15 12:44:17+00:00,#StopBrexit @peoplesvote_uk @remain_central @Scientists4EU @EuropeStreet @The3Million
3746,1063050005748072453,milo_2223,,#StopBrexit,,2018-11-15 12:44:06+00:00,#StopBrexit 
3747,1063049963196899329,PamPamwtrow,,#StopBrexit #FBPE #PeoplesVote,,2018-11-15 12:43:56+00:00,And another resignation. #StopBrexit #FBPE #PeoplesVote
3748,1063049920511426565,bexxi,,#StopBrexit #Maybot #BrexitShambles,,2018-11-15 12:43:46+00:00,"If you say ""meaningful"" too often, it becomes meaningless. #StopBrexit #Maybot #BrexitShambles"
3749,1063049897337851905,FParsonage,,#PeoplesVote #StopBrexit,,2018-11-15 12:43:40+00:00,"Meaning a sharp rise in the cost of imports, leading to a surge in the cost of living making the people poorer, except of course the rich like Kipper Rees Mogg & his ilk with assets oversees. Thanks Brexiteers for your stupidity. We must have a #PeoplesVote to #StopBrexit "
3750,1063049886638202880,AlisonKMurray,,#StopBrexit #FBPE #PeoplesVote,,2018-11-15 12:43:38+00:00,I like this one: PamPamwtrow https://twitter.com/PamPamwtrow/status/1063045278465441792 https://www.mirror.co.uk/news/politics/labour-vote-down-brexit-deal-13593717?utm_source=twitter.com&amp;utm_medium=social&amp;utm_campaign=sharebar Labour WILL vote down the Brexit deal https://www.mirror.co.uk/news/politics/labour-vote-down-brexit-deal-13593717?utm_source=twitter.com&amp;utm_medium=social&amp;utm_campaign=sharebar #StopBrexit #FBPE #PeoplesVote
3751,1063049884285235200,AlisonKMurray,,#Remain #StopBrexit,,2018-11-15 12:43:37+00:00,I like this one: TheStephenRalph https://twitter.com/TheStephenRalph/status/1063045235079553025 https://twitter.com/TheStephenRalph/status/1063042086356901888 Theresa May has just confirmed that MPs who want to #Remain in the EU *can* #StopBrexit This is your moment Anna_Soubry ChukaUmunna sarahwollaston OwenSmith_MP vincecable… 
3752,1063049881970008064,AlisonKMurray,,#StopBrexit,,2018-11-15 12:43:37+00:00,I like this one: TimCR_Baker https://twitter.com/TimCR_Baker/status/1063045056330915840 https://twitter.com/peoplesvote_uk/status/1063044280338575361 That'll do nicely. No Brexit at all. The best possible deal. #StopBrexit 
3753,1063049877091946496,AlisonKMurray,,#PeoplesVote #StopBrexit,,2018-11-15 12:43:35+00:00,I like this one: nemo20000 https://twitter.com/nemo20000/status/1063044963511009280 https://twitter.com/SkyNewsBreak/status/1063043681157111808 There are a number of logical fallacies in this expectation. #PeoplesVote #StopBrexit 
3754,1063049866564325376,AlisonKMurray,,#StopBrexit #FBPE #PeoplesVote,,2018-11-15 12:43:33+00:00,I like this one: juliehinukeu https://twitter.com/juliehinukeu/status/1063044478431305728 http://newsnow.co.uk/share?u=https%3A//www.mirror.co.uk/news/politics/labour-vote-down-brexit-deal-13593717&amp;sgt=shv1&amp;sg=a003a112&amp;sid=2 Labour WILL vote down Brexit deal as party finally reveals its hand http://newsnow.co.uk/share?u=https%3A//www.mirror.co.uk/news/politics/labour-vote-down-brexit-deal-13593717&amp;sgt=shv1&amp;sg=a003a112&amp;sid=2 via NewsNowUK #StopBrexit #FBPE #PeoplesVote
3755,1063049853129949185,AlisonKMurray,,#StopBrexit #FBPE #PeoplesVote,,2018-11-15 12:43:30+00:00,"I like this one: juliehinukeu https://twitter.com/juliehinukeu/status/1063043318907617280 https://www.huffingtonpost.co.uk/entry/brexit-has-been-an-exercise-in-entitlement-a-leadership_uk_5bed409ce4b06828b51ad7a3?ncid=other_twitter_cooo9wqtham&amp;utm_campaign=share_twitter Brexit has been an exercise in entitlement, and a leadership contest now would take us to the brink - KateBalders blogs https://www.huffingtonpost.co.uk/entry/brexit-has-been-an-exercise-in-entitlement-a-leadership_uk_5bed409ce4b06828b51ad7a3?ncid=other_twitter_cooo9wqtham&amp;utm_campaign=share_twitter #StopBrexit #FBPE #PeoplesVote"
3756,1063049850810458112,AlisonKMurray,,#StopBrexit,,2018-11-15 12:43:29+00:00,"I like this one: andymehen https://twitter.com/andymehen/status/1063043174967455744 https://ift.tt/2DI1Xh5 Asked my 70 yr old Dad if he’d ever seen such utter chaos, politically, in his life time. Got a very short, simple answer. THIS MUST BE STOPPED. #StopBrexit"
3757,1063049848520351746,AlisonKMurray,,#StopBrexit #PeoplesVote,,2018-11-15 12:43:29+00:00,"I like this one: SKMacDonald https://twitter.com/SKMacDonald/status/1063043078121025536 https://ift.tt/2DI1Xh5 Mrs May boasted ""I'm not a quitter"" But her lies caught up with and bit her The piled resignations Spoke to all nations With the coup de grace given by Twitter #StopBrexit #PeoplesVote"
3758,1063049772871925763,nickreeves9876,,#Brexit #PeoplesVote #StopBrexit,,2018-11-15 12:43:11+00:00,"#Brexit is about a lying, cheating gang of rich bastards exploiting the fears &amp; anxieties of ordinary people in order to slash their tax bills and tear up the health, safety, environmental and workplace regulations which eat into their profits. #PeoplesVote #StopBrexit "
